PTPRA	RPTPalpha
PTPRB	RPTPbeta
PTPRC	CD45
PTPRD	RPTPdelta
PTPRE	RPTPepsilon
PTPRF	LAR
PTPRG	RPTPgamma
PTPRH	SAP1
PTPRJ	RPTPeta
PTPRK	RPTPkappa
PTPRM	RPTPmu
PTPRN2	IA-2beta
PTPRO	GLEPP1
PTPRQ	PTPS31
PTPRR	PTP-SL
PTPRS	RPTPsigma
PTPRT	RPTPrho
PTPRU	PTP-J
PTPRZ1	RPTPzeta
PTPN1	PTP1B
PTPN2	TCPTP
PTPN3	PTPH1
PTPN4	PTP-MEG1
PTPN5	STEP
PTPN6	SHP1
PTPN7	HePTP
PTPN9	PTP-MEG2
PTPN11	SHP2
PTPN12	PTP-PEST
PTPN13	PTP-BAS
PTPN14	Pez
PTPN18	BDP1
PTPN20A	PTPN20
PTPN20B	PTPN20
PTPN21	PTPD1
PTPN22	LYP
PTPN23	HD-PTP
DUSP1	MKP-1
DUSP2	PAC-1
DUSP4	MKP-2
DUSP5	hVH3
DUSP6	MKP-3
DUSP7	MKP-X
DUSP8	hVH5
DUSP9	MKP-4
DUSP10	MKP-5
DUSP16	MKP-7
DUPD1	DUPD1
DUSP3	VHR
DUSP11	PIR1
DUSP12	YVH1
DUSP13	TMDP
DUSP13	MDSP
DUSP14	MKP-6
DUSP15	VHY
DUSP18	LMW-DSP20
DUSP19	SKRP1
DUSP21	LMW-DSP21
DUSP22	JSP-1
DUSP23	VHZ
DUSP26	MKP-8
DUSP28	DUSP28
EPM2A	Laforin
PTPMT1	PTPMT1
RNGTT	HCE
SSH1	slingshot-1
SSH2	slingshot-2
SSH3	slingshot-3
PTP4A1	PRL-1
PTP4A2	PRL-2
PTP4A3	PRL-3
CDC14A	CDC14A
CDC14B	CDC14B
CDKN3	KAP
PTPDC1	PTPDC1
DNAJC6	auxilin
PTEN	PTEN
TENC1	C1-TEN
TPTE	TPTE
TPTE2	TPIP
MTM1	MTM1
MTMR1	MTMR1
MTMR2	MTMR2
MTMR3	MTMR3
MTMR4	MTMR4
MTMR6	MTMR6
MTMR7	MTMR7
MTMR8	MTMR8
MTMR14	MTMR14
ACP1	LMW-PTP
CDC25A	CDC25A
CDC25B	CDC25B
CDC25C	CDC25C
EYA1	Eya1
EYA2	Eya2
EYA3	Eya3
EYA4	Eya4
PPP1CA	PP1alpha
PPP1CB	PP1beta
PPP1CC	PP1gamma
PPP2CA	PP2Aalpha
PPP2CB	PP2Abeta
PPP3CA	PP2Balpha
PPP3CB	PP2Bbeta
PPP3CC	PP2Bgamma
PPP4C	PP4c
PPP5C	PP5
PPP6C	PP6
PPEF1	PPEF1/PP7
PPEF2	PPEF2
ILKAP	ILKAP
PDP1	PDP1
PDP2	PDP2
PHLPP1	PHLPP1
PHLPP2	PHLPP2
PPM1A	PP2Calpha
PPM1B	PP2Cbeta
PPM1D	PP2Cdelta
PPM1E	CaMKP-N
PPM1F	CaMKPase
PPM1G	PP2Cγ
PPM1H	PPM1H
PPM1J	PP2Czeta
PPM1K	PP2Ckappa
PPM1L	PP2Cepsilon
PPM1M	PP2Ceta
PPM1N	PPM1N
PPTC7	TA-PP2C
CTDNEP1	DULLARD
CTDP1	FCP1
CTDSP1	SCP1
CTDSP2	SCP2
CTDSPL	SCP3
CTDSPL2	CTDSP-like 2
UBLCP1	UBLCP1
LPPR2	LPPR2
LPPR3	LPPR3
LPPR4	LPPR4
LPPR5	LPPR5
PPAP2A	PAP2a
PPAP2B	PAP2b
PPAP2C	PAP2c
PPAPDC1A	DPPL2
PPAPDC1B	DPPL1
PPAPDC2	PPAPDC2
PPAPDC3	PPAPDC3
